Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Duration
586,10,7,2020-12-11--2020-12-18,champagne problems,"48,48,954",Taylor Swift,42227614,0sY6ZUTh4yoctD8VIXz339,"['pop', 'post-teen pop']",11-12-2020,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18",75,244000
587,37,35,2020-09-11--2020-09-18,Go Crazy,"48,33,081","Chris Brown, Young Thug",14073083,1IIKrJVP1C9N7iPtG6eOsK,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",08-05-2020,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29",80,176960
588,73,6,2020-12-11--2020-12-18,Reminds Me Of You,"59,42,551","Juice WRLD, The Kid LAROI",19102888,5YSHygGN9D0mID1NsVd5my,"['chicago rap', 'melodic rap']",08-12-2020,"2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18",75,158033
589,177,1,2021-01-15--2021-01-22,Don't Play,"51,19,828","Anne-Marie, KSI, Digital Farm Animals",8153871,4I5bvu2KDsrCg0EWHIcvul,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",15-01-2021,2021-01-15--2021-01-22,73,188581
590,108,4,2020-12-25--2021-01-01,MODO TURBO,"49,83,557","Luísa Sonza, Pabllo Vittar, Anitta",1251372,5217tPOJfhVUY8q9TCKHO1,[],11-08-2021,"2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01",1,150260
591,191,1,2021-01-15--2021-01-22,Buss It,"49,15,403",Erica Banks,41551,25j0Sape7qZbq6ZPLFefTT,['trap queen'],19-06-2020,2021-01-15--2021-01-22,72,187000
592,41,39,2020-06-26--2020-07-03,Kings & Queens,"48,55,690",Ava Max,3916979,7a53HqqArd4b9NF4XAmlbI,"['dance pop', 'pop']",18-09-2020,"2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03",82,162399
593,6,15,2020-10-02--2020-10-09,Lovesick Girls,"47,96,365",BLACKPINK,23848461,4Ws314Ylb27BVsvlZOy30C,"['k-pop', 'k-pop girl group']",02-10-2020,"2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",75,194765
594,17,31,2020-08-07--2020-08-14,Caramelo,"47,90,233",Ozuna,29238936,3gD4J3RUHy4OUuZ3qAiaiG,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",11-06-2020,"2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19",74,217547
595,67,13,2020-11-13--2020-11-20,Deep End,"56,22,565",Fousheé,411262,2AlYncTpVHKwHb55F9lF6O,"['brooklyn drill', 'nyc rap']",05-06-2020,"2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23",72,115200
